codgeo,x,y,libgeo
01357,911829.816,6568423.452,Saint-Germain-de-Joux
01358,903435.726,6522375.711,Saint-Germain-les-Paroisses
01359,859221.653,6555462.472,Saint-Germain-sur-Renon
01360,926680.374,6572949.355,Saint-Jean-de-Gonville
01361,871662.36,6529147.116,Saint-Jean-de-Niost
01362,847075.008,6541811.757,Saint-Jean-de-Thurigneux
01363,884332.172,6550509.083,Saint-Jean-le-Vieux
01364,858507.06,6590648.814,Saint-Jean-sur-Reyssouze
01365,848064.777,6576103.305,Saint-Jean-sur-Veyle
01366,877140.596,6533941.688,Sainte-Julie
01367,861626.038,6591017.863,Saint-Julien-sur-Reyssouze
01368,851179.55,6568789.919,Saint-Julien-sur-Veyle
01369,876074.66,6568537.906,Saint-Just
01370,841583.63,6580067.912,Saint-Laurent-sur-Saône
01371,854131.396,6540675.634,Saint-Marcel
01372,907912.018,6531148.333,Saint-Martin-de-Bavel
01373,898509.348,6562806.852,Saint-Martin-du-Frêne
01374,879612.029,6558904.716,Saint-Martin-du-Mont
01375,863374.594,6579014.283,Saint-Martin-le-Châtel
01376,853483.52,6527905.54,Saint-Maurice-de-Beynost
01378,868461.949,6526813.821,Saint-Maurice-de-Gourdans
01379,875850.401,6541794.831,Saint-Maurice-de-Rémens
01380,866959.056,6597065.722,Saint-Nizier-le-Bouchoux
01381,865616.129,6552577.929,Saint-Nizier-le-Désert
01382,849761.098,6547852.917,Sainte-Olive
01383,864346.488,6557329.859,Saint-Paul-de-Varax
01384,888965.524,6541960.696,Saint-Rambert-en-Bugey
01385,867180.306,6567185.164,Saint-Rémy
01386,884331.699,6534651.407,Saint-Sorlin-en-Bugey
01387,857069.122,6582080.888,Saint-Sulpice
01388,858571.212,6597767.715,Saint-Trivier-de-Courtes
01389,846944.837,6553109.359,Saint-Trivier-sur-Moignans
01390,876235.829,6527282.729,Saint-Vulbas
01391,880431.07,6587571.262,Salavre
01392,899112.642,6577084.051,Samognat
01393,853217.392,6553670.651,Sandrans
01396,886408.325,6532385.153,Sault-Brénaz
01397,939322.216,6583946.782,Sauverny
01398,843753.87,6545869.987,Savigneux
01399,936510.004,6581731.939,Ségny
01400,893993.466,6525012.264,Seillonnaz
01401,930160.4,6578061.79,Sergy
01402,851687.374,6601718.589,Sermoyer
01403,889567.983,6526633.553,Serrières-de-Briord
01404,889035.74,6563613.589,Serrières-sur-Ain
01405,868216.011,6562251.666,Servas
01406,857780.712,6594812.808,Servignat
01407,918870.883,6542642.144,Seyssel
01408,886663.221,6573302.877,Simandre-sur-Suran
01410,893173.03,6572433.067,Sonthonnax-la-Montagne
01411,888532.66,6533811.002,Souclin
01412,850955.716,6565574.891,Sulignat
01415,911015.353,6532966.137,Talissieu
01416,894834.813,6539007.784,Tenay
01418,856698.284,6526121.507,Thil
01419,928393.879,6575843.903,Thoiry
01420,838514.646,6564988.496,Thoissey
01421,886240.438,6538589.712,Torcieu
01422,877814.859,6562470.541,Tossiat
01423,841646.525,6541643.509,Toussieux
01424,852361.434,6532442.112,Tramoyes
01425,874710.847,6557789.492,La Tranclière
01426,881925.126,6578934.877,Val-Revermont
01427,837165.308,6539456.505,Trévoux
01428,844069.257,6558895.347,Valeins
01429,860448.445,6570717.799,Vandeins
01430,877399.757,6551866.75,Varambon
01431,883119.099,6538336.655,Vaux-en-Bugey
01432,880641.348,6585587.882,Verjon
01433,861541.373,6600478.895,Vernoux
01434,863484.985,6545111.137,Versailleux
01435,938625.412,6582466.17,Versonnex
01436,937106.429,6589213.068,Vesancy
01437,855417.208,6599227.834,Vescours
01439,843180.34,6586003.174,Vésines
01441,896950.04,6557136.826,Vieu-d'Izenave
